"EndDate","Role.in.Operation","County","Regions","Region.North","Region.Delta","Region.Central","Region.South","Total.Yield.Bearing.Acreage","Acre.Ranges","Cover.Crop.Grown","Cover.Crop.Satisfaction","Cover.Crop.Interest","Cover.Crop.Concerns","Cover.Crop.Incentives","Age"
"12/10/19","Owner, not responsible for day-to-day management","Colusa","North",1,0,0,0,100,"Medium","Yes","Somewhat Satisfied",NA,"Expense of water,Cost of seeds","","45-54 years old"
"12/10/19","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,25,"Small","No","","Yes","Availability of equipment needed to plant seeds,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","55-64 years old"
"12/10/19","Farm manager (not owner)","Madera","Central",0,0,1,0,1100,"Large","No","","Yes","Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Physical interference with operations","Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","18-24 years old"
"12/10/19","Owner/operator of almond orchard(s)","Butte","North",1,0,0,0,40,"Small","Yes","Very Satisfied",NA,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Availability of equipment needed to plant seeds,Increased risk of frost damage,Limited time for planting due to competing operations","","65-74 years old"
"12/10/19","Farm manager (not owner)","San Joaquin,Stanislaus","Central",0,0,1,0,1500,"Large","No","","Yes","Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","Decreased rental fee for managed bee colonies","25-34 years old"
"12/10/19","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,100,"Medium","Yes","Very Satisfied",NA,"Cost of seeds","","65-74 years old"
"12/10/19","Owner/operator of almond orchard(s)","Tulare","South",0,0,0,1,800,"Large","Yes","Very Satisfied",NA,"Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds","","35-44 years old"
"12/10/19","Farm manager (not owner)","San Joaquin","Central",0,0,1,0,40,"Small","No","","Yes","Availability of water,Expense of water,Incompatibility with irrigation system(s),Labor to grow/maintain it,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)","18-24 years old"
"12/10/19","Farm manager (not owner)","Colusa","North",1,0,0,0,2000,"Large","Yes","Somewhat Satisfied",NA,"Availability of water,Expense of water,Availability of equipment needed to plant seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","","55-64 years old"
"12/10/19","Farm manager (not owner)","San Joaquin,Madera,Fresno,Kings,Tulare","South",0,0,0,1,250,"Large","No","","No","Availability of water","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)","25-34 years old"
"12/10/19","Owner, not responsible for day-to-day management","Kings","South",0,0,0,1,57,"Medium","No","","Not sure","Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Increased strength of bee colonies during bloom","25-34 years old"
"12/10/19","Farm manager (not owner)","Yolo","Delta",0,1,0,0,5,"Small","Yes","Somewhat Satisfied",NA,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Inadequate soil type for cover crops,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","","45-54 years old"
"12/10/19","Owner/operator of almond orchard(s)","Yolo","Delta",0,1,0,0,688,"Large","Yes","Somewhat Satisfied",NA,"Availability of water,Cost of seeds","","35-44 years old"
"12/10/19","Farm manager (not owner)","Madera","Central",0,0,1,0,7000,"Large","No","","Yes","Availability of equipment needed to plant seeds,Limited time for planting due to competing operations","Private cost-share program that covers the cost of cover crop seeds","25-34 years old"
"12/10/19","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,70,"Medium","No","","Yes","Incompatibility with irrigation system(s),Cost of equipment needed to plant seeds,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","35-44 years old"
"12/10/19","Farm manager (not owner)","Kern","South",0,0,0,1,25000,"Large","No","","No","Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Increased strength of bee colonies during bloom","25-34 years old"
"12/11/19","Owner, not responsible for day-to-day management","San Joaquin,Madera,Fresno","Central",0,0,1,0,425,"Large","No","","Not sure","Effort/time to manage it,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","35-44 years old"
"12/11/19","Owner, not responsible for day-to-day management","Stanislaus,Fresno","South",0,0,0,1,1550,"Large","No","","Yes","Availability of water,Effort/time to manage it,Cost of seeds,Increased risk of frost damage,Physical interference with operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds","25-34 years old"
"12/11/19","Farm manager (not owner)",NA,NA,NA,NA,NA,NA,14,"Small","No","","Yes","Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom","25-34 years old"
"12/11/19","Owner/operator of almond orchard(s)","San Joaquin","Central",0,0,1,0,100,"Medium","Yes","Very Satisfied",NA,"We have no concerns about cover crops","","25-34 years old"
"12/11/19","Owner/operator of almond orchard(s)","San Joaquin,Stanislaus","Central",0,0,1,0,1400,"Large","Yes","Somewhat Satisfied",NA,"Availability of water,Labor to grow/maintain it,Increased risk of frost damage","","25-34 years old"
"12/11/19","Farm manager (not owner)","San Joaquin","Central",0,0,1,0,300,"Large","No","","No","Availability of water,Incompatibility with irrigation system(s),Labor to grow/maintain it","Increased strength of bee colonies during bloom","25-34 years old"
"12/11/19","Owner, not responsible for day-to-day management","Yolo","Delta",0,1,0,0,20,"Small","Yes","Very Satisfied",NA,"Prefer not to answer","","18-24 years old"
"12/11/19","Farm manager (not owner)","Kern","South",0,0,0,1,7000,"Large","No","","Not sure","Availability of water,Expense of water,Effort/time to manage it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Increased risk of frost damage","Easy/affordable access to equipment needed to plant seeds","25-34 years old"
"12/11/19","Farm manager (not owner)","Fresno","South",0,0,0,1,100,"Medium","No","","No","Effort/time to manage it","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)","55-64 years old"
"12/11/19","Farm manager (not owner)","Kern","South",0,0,0,1,7000,"Large","No","","Not sure","Availability of water,Expense of water,Incompatibility with irrigation system(s),Availability of equipment needed to plant seeds,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds","25-34 years old"
"12/11/19","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,800,"Large","Yes","Very Satisfied",NA,"Effort/time to manage it,Cost of seeds,Limited time for planting due to competing operations","","25-34 years old"
"12/11/19","Farm manager (not owner)","Madera","Central",0,0,1,0,NA,NA,"No","","Yes","Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it","Easy/affordable access to equipment needed to plant seeds","18-24 years old"
"12/11/19","Farm manager (not owner)","Fresno","South",0,0,0,1,100,"Medium","Yes","Very Satisfied",NA,"Effort/time to manage it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","","45-54 years old"
"12/11/19","Farm manager (not owner)","Madera","Central",0,0,1,0,35000,"Large","No","","Not sure","Incompatibility with irrigation system(s),Labor to grow/maintain it,Availability of equipment needed to plant seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)","25-34 years old"
"12/11/19","Farm manager (not owner)","San Joaquin","Central",0,0,1,0,0,"","No","","Not sure","We have no concerns about cover crops","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom","25-34 years old"
"12/11/19","Farm manager (not owner)","San Joaquin","Central",0,0,1,0,70,"Medium","No","","Not sure","Limited time for planting due to competing operations,Physical interference with operations","Increased strength of bee colonies during bloom","25-34 years old"
"12/11/19","Owner/operator of almond orchard(s)","Glenn","North",1,0,0,0,128,"Medium","No","","No","Availability of water,Expense of water,Inadequate soil type for cover crops,Increased risk of frost damage","None of these are incentives","45-54 years old"
"12/11/19","Owner/operator of almond orchard(s)","San Joaquin,Stanislaus","Central",0,0,1,0,300,"Large","No","","Yes","Incompatibility with irrigation system(s),Cost of seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","35-44 years old"
"12/11/19","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,100,"Medium","No","","Not sure","Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","18-24 years old"
"12/11/19","Owner, not responsible for day-to-day management","Fresno","South",0,0,0,1,500,"Large","No","","No","Incompatibility with irrigation system(s),Effort/time to manage it","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)","55-64 years old"
"12/11/19","Farm manager (not owner)","Kern","South",0,0,0,1,NA,NA,"Yes","Somewhat Satisfied",NA,"Availability of equipment needed to plant seeds,Inadequate soil type for cover crops","","25-34 years old"
"12/12/19","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,20,"Small","No","","No","Increased risk of frost damage","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)","45-54 years old"
"12/12/19","Owner/operator of almond orchard(s)","Madera","Central",0,0,1,0,60,"Medium","Yes","Very Satisfied",NA,"Incompatibility with irrigation system(s),Effort/time to manage it,Cost of equipment needed to plant seeds,Cost of seeds","","25-34 years old"
"12/12/19","Farm manager (not owner)","Fresno","South",0,0,0,1,100,"Medium","Yes","Very Satisfied",NA,"We have no concerns about cover crops","","25-34 years old"
"12/12/19","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,50,"Medium","No","","Not sure","Effort/time to manage it","None of these are incentives","35-44 years old"
"12/12/19","Farm manager (not owner)","Kern","South",0,0,0,1,35000,"Large","Yes","Not Satisfied",NA,"Limited time for planting due to competing operations,Physical interference with operations","","35-44 years old"
"12/12/19","Farm manager (not owner)","Madera,Fresno,Kings,Tulare,Kern","South",0,0,0,1,1500,"Large","No","","Yes","Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","25-34 years old"
"12/12/19","Farm manager (not owner)","Madera","Central",0,0,1,0,1500,"Large","No","","No","Availability of water,Expense of water","None of these are incentives","45-54 years old"
"12/12/19","Farm manager (not owner)","Madera","Central",0,0,1,0,1900,"Large","No","","Yes","Availability of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","25-34 years old"
"12/12/19","Farm manager (not owner)","Madera","Central",0,0,1,0,1700,"Large","No","","Yes","Availability of water,Expense of water","Decreased rental fee for managed bee colonies","25-34 years old"
"12/12/19","Farm manager (not owner)","Madera","Central",0,0,1,0,1200,"Large","No","","Yes","Availability of water,Expense of water","Decreased rental fee for managed bee colonies","25-34 years old"
"12/13/19","Farm manager (not owner)","Yolo,Stanislaus,Fresno","South",0,0,0,1,15,"Small","Yes","Very Satisfied",NA,"Availability of water,Expense of water,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","","55-64 years old"
"12/13/19","Owner/operator of almond orchard(s)","Yolo","Delta",0,1,0,0,500,"Large","Yes","Somewhat Satisfied",NA,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Limited time for planting due to competing operations","","25-34 years old"
"12/13/19","Owner/operator of almond orchard(s)","Madera","Central",0,0,1,0,200,"Medium","No","","Yes","Expense of water,Effort/time to manage it,Labor to grow/maintain it,Availability of equipment needed to plant seeds,Inadequate soil type for cover crops","Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","35-44 years old"
"12/13/19","Farm manager (not owner)","Kern","South",0,0,0,1,6512,"Large","No","","No","Prefer not to answer","None of these are incentives","25-34 years old"
"12/13/19","Farm manager (not owner)","Madera","Central",0,0,1,0,1500,"Large","No","","Not sure","Prefer not to answer","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds","35-44 years old"
"12/13/19","Owner/operator of almond orchard(s)","Madera","Central",0,0,1,0,4,"Small","Yes","Somewhat Satisfied",NA,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of seeds,Inadequate soil type for cover crops,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","","45-54 years old"
"12/13/19","Farm manager (not owner)","San Joaquin","Central",0,0,1,0,5,"Small","Yes","Very Satisfied",NA,"Inadequate soil type for cover crops","","35-44 years old"
"12/14/19","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,45,"Medium","No","","Not sure","Prefer not to answer","None of these are incentives","25-34 years old"
"12/15/19","Owner/operator of almond orchard(s)","Tulare","South",0,0,0,1,20,"Small","No","","Not sure","Availability of water,Expense of water,Effort/time to manage it,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies","45-54 years old"
"12/15/19","Owner, not responsible for day-to-day management","Stanislaus","Central",0,0,1,0,20,"Small","No","","No","Effort/time to manage it","None of these are incentives","25-34 years old"
"12/16/19","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,115,"Medium","Yes","Very Satisfied",NA,"Increased risk of frost damage,Limited time for planting due to competing operations","","45-54 years old"
"12/16/19","Farm manager (not owner)","Stanislaus,Madera","Central",0,0,1,0,6000,"Large","No","","Yes","Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","Decreased rental fee for managed bee colonies,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds","25-34 years old"
"12/17/19","Owner/operator of almond orchard(s)","Tehama,Butte,Glenn,Colusa","North",1,0,0,0,5500,"Large","Yes","Somewhat Satisfied",NA,"Incompatibility with irrigation system(s),Cost of equipment needed to plant seeds,Limited time for planting due to competing operations","","55-64 years old"
"12/18/19","Owner/operator of almond orchard(s)","Kern","South",0,0,0,1,14000,"Large","No","","Not sure","Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies","45-54 years old"
"12/18/19","Farm manager (not owner)","Kern","South",0,0,0,1,420,"Large","No","","Not sure","Labor to grow/maintain it,Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","25-34 years old"
"12/18/19","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,100,"Medium","No","","No","Increased risk of frost damage","None of these are incentives","25-34 years old"
"12/18/19","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,50,"Medium","No","","Not sure","We have no concerns about cover crops","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom","25-34 years old"
"12/18/19","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,200,"Medium","Yes","Somewhat Satisfied",NA,"Availability of water,Expense of water,Incompatibility with irrigation system(s)","","25-34 years old"
"12/18/19","Farm manager (not owner)","Fresno","South",0,0,0,1,5,"Small","No","","No","Inadequate soil type for cover crops","Prefer not to answer","25-34 years old"
"12/18/19","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,200,"Medium","Yes","Somewhat Satisfied",NA,"Availability of water,Expense of water,Increased risk of frost damage","","55-64 years old"
"12/18/19","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,96,"Medium","No","","Yes","Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","65-74 years old"
"12/18/19","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,30,"Small","Yes","Very Satisfied",NA,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Increased risk of frost damage","","25-34 years old"
"12/19/19","Owner, not responsible for day-to-day management","Merced","Central",0,0,1,0,18,"Small","Yes","Very Satisfied",NA,"Cost of seeds","","55-64 years old"
"12/19/19","Farm manager (not owner)","Tulare","South",0,0,0,1,72,"Medium","No","","Not sure","Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","45-54 years old"
"12/19/19","Owner, not responsible for day-to-day management","Merced","Central",0,0,1,0,25,"Small","Yes","Very Satisfied",NA,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Inadequate soil type for cover crops,Increased risk of frost damage,Limited time for planting due to competing operations,Physical interference with operations","","35-44 years old"
"12/19/19","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,160,"Medium","No","","Not sure","Effort/time to manage it,Labor to grow/maintain it,Availability of equipment needed to plant seeds,Increased risk of frost damage,Limited time for planting due to competing operations","Increased strength of bee colonies during bloom","35-44 years old"
"12/19/19","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,250,"Large","No","","Not sure","Effort/time to manage it,Cost of equipment needed to plant seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","35-44 years old"
"12/20/19","Farm manager (not owner)","Fresno","South",0,0,0,1,5,"Small","No","","Yes","Cost of equipment needed to plant seeds","Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","25-34 years old"
"12/20/19","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,12,"Small","No","","Yes","Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","65-74 years old"
"12/20/19","Farm manager (not owner)","Colusa","North",1,0,0,0,95,"Medium","Yes","Very Satisfied",NA,"We have no concerns about cover crops","","35-44 years old"
"12/20/19","Owner, not responsible for day-to-day management","Stanislaus,Madera","Central",0,0,1,0,230,"Large","No","","Not sure","Effort/time to manage it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","25-34 years old"
"12/20/19","Owner, not responsible for day-to-day management","San Joaquin","Central",0,0,1,0,39,"Small","No","","Yes","Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","35-44 years old"
"12/20/19","Farm manager (not owner)","San Joaquin","Central",0,0,1,0,65,"Medium","Yes","Not Satisfied",NA,"Increased risk of frost damage","","45-54 years old"
"12/21/19","Farm manager (not owner)","Tulare","South",0,0,0,1,40,"Small","No","","Yes","Physical interference with operations","Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","45-54 years old"
"12/21/19","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,7,"Small","No","","Not sure","Prefer not to answer","Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","35-44 years old"
"12/21/19","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,40,"Small","Yes","Somewhat Satisfied",NA,"Availability of equipment needed to plant seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","","35-44 years old"
"12/21/19","Farm manager (not owner)","San Joaquin","Central",0,0,1,0,25,"Small","No","","Yes","Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Easy/affordable access to equipment needed to plant seeds","35-44 years old"
"12/22/19","Owner, not responsible for day-to-day management","Madera","Central",0,0,1,0,6,"Small","No","","Not sure","We have no concerns about cover crops","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom","35-44 years old"
"12/22/19","Farm manager (not owner)","Madera","Central",0,0,1,0,40,"Small","No","","No","Availability of water,Expense of water,Increased risk of frost damage","None of these are incentives","45-54 years old"
"12/23/19","Farm manager (not owner)","Yuba","Delta",0,1,0,0,52,"Medium","Yes","Very Satisfied",NA,"Limited time for planting due to competing operations","","35-44 years old"
"12/23/19","Owner, not responsible for day-to-day management","San Joaquin","Central",0,0,1,0,12,"Small","No","","No","Prefer not to answer","None of these are incentives","35-44 years old"
"12/23/19","Farm manager (not owner)","Merced","Central",0,0,1,0,50,"Medium","No","","Not sure","We have no concerns about cover crops","Prefer not to answer","35-44 years old"
"12/23/19","Farm manager (not owner)","Fresno","South",0,0,0,1,125,"Medium","Yes","Very Satisfied",NA,"Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Availability of equipment needed to plant seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","","35-44 years old"
"12/23/19","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,140,"Medium","No","","Not sure","Effort/time to manage it,Labor to grow/maintain it","Easy/affordable access to equipment needed to plant seeds","25-34 years old"
"12/23/19","Owner, not responsible for day-to-day management","Colusa","North",1,0,0,0,43,"Medium","Yes","Somewhat Satisfied",NA,"We have no concerns about cover crops","","35-44 years old"
"12/24/19","Farm manager (not owner)","Fresno","South",0,0,0,1,120,"Medium","No","","No","Availability of water,Expense of water,Incompatibility with irrigation system(s)","None of these are incentives","55-64 years old"
"12/25/19","Owner, not responsible for day-to-day management","Madera","Central",0,0,1,0,20,"Small","No","","No","We have no concerns about cover crops","Increased strength of bee colonies during bloom","55-64 years old"
"1/1/20","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,28,"Small","No","","No","Limited time for planting due to competing operations,Physical interference with operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","25-34 years old"
"1/3/20","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,50,"Medium","No","","Not sure","Availability of water,Incompatibility with irrigation system(s),Labor to grow/maintain it","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds","55-64 years old"
"1/3/20","Owner/operator of almond orchard(s)","Stanislaus,Merced","Central",0,0,1,0,1300,"Large","Yes","Somewhat Satisfied",NA,"Cost of seeds,Increased risk of frost damage,Physical interference with operations","","35-44 years old"
"1/3/20","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,210,"Large","No","","Not sure","Expense of water,Labor to grow/maintain it,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","65-74 years old"
"1/3/20","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,80,"Medium","No","","Not sure","Increased risk of frost damage,Physical interference with operations","Increased strength of bee colonies during bloom","55-64 years old"
"1/3/20","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,18,"Small","No","","Yes","Cost of equipment needed to plant seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","55-64 years old"
"1/3/20","Owner/operator of almond orchard(s)","Glenn","North",1,0,0,0,78,"Medium","No","","Yes","Availability of equipment needed to plant seeds,Increased risk of frost damage,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","55-64 years old"
