"EndDate","Role.in.Operation","County","Regions","Region.North","Region.Delta","Region.Central","Region.South","Total.Yield.Bearing.Acreage","Acre.Ranges","Cover.Crop.Grown","Cover.Crop.Satisfaction","Cover.Crop.Interest","Cover.Crop.Concerns","Cover.Crop.Incentives","Age"
"1/3/20","Owner/operator of almond orchard(s)","Madera","Central",0,0,1,0,38,"Small","No","","Not sure","Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","75 years or older"
"1/3/20","Owner/operator of almond orchard(s)","San Joaquin","Central",0,0,1,0,5,"Small","No","","No","Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Inadequate soil type for cover crops","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds","55-64 years old"
"1/3/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,20,"Small","No","","Not sure","Labor to grow/maintain it,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","35-44 years old"
"1/4/20","Owner/operator of almond orchard(s)","Kern","South",0,0,0,1,170,"Medium","No","","Not sure","Availability of water,Expense of water,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds","65-74 years old"
"1/4/20","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,10,"Small","No","","No","Availability of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","None of these are incentives","65-74 years old"
"1/4/20","Owner/operator of almond orchard(s)","Kern","South",0,0,0,1,175,"Medium","No","","Yes","Availability of water,Incompatibility with irrigation system(s),Cost of equipment needed to plant seeds,Increased risk of frost damage","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","65-74 years old"
"1/4/20","Owner/operator of almond orchard(s)","Glenn","North",1,0,0,0,145,"Medium","Yes","Very Satisfied",NA,"Cost of seeds","","45-54 years old"
"1/4/20","Owner, not responsible for day-to-day management","Fresno","South",0,0,0,1,70,"Medium","No","","Yes","We have no concerns about cover crops","None of these are incentives","45-54 years old"
"1/4/20","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,100,"Medium","No","","Yes","Increased risk of frost damage","Federal cost-share program that covers the cost of cover crop seeds","55-64 years old"
"1/4/20","Owner/operator of almond orchard(s)","San Joaquin,Stanislaus","Central",0,0,1,0,584,"Large","No","","No","Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Increased risk of frost damage","None of these are incentives","55-64 years old"
"1/4/20","Farm manager (not owner)","Fresno","South",0,0,0,1,29,"Small","Yes","Very Satisfied",NA,"Incompatibility with irrigation system(s),Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","","25-34 years old"
"1/4/20","Owner/operator of almond orchard(s)","San Joaquin","Central",0,0,1,0,300,"Large","Yes","Very Satisfied",NA,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","","55-64 years old"
"1/4/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,18,"Small","No","","No","We have no concerns about cover crops","None of these are incentives","55-64 years old"
"1/5/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,175,"Medium","Yes","Somewhat Satisfied",NA,"Increased risk of frost damage,Physical interference with operations","","55-64 years old"
"1/5/20","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,240,"Large","Yes","Somewhat Satisfied",NA,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","","55-64 years old"
"1/6/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,20,"Small","Yes","Very Satisfied",NA,"Effort/time to manage it,Increased risk of frost damage,Physical interference with operations","","55-64 years old"
"1/6/20","Owner, not responsible for day-to-day management","Tulare","South",0,0,0,1,50,"Medium","No","","Not sure","Prefer not to answer","Prefer not to answer","35-44 years old"
"1/6/20","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,240,"Large","Yes","Not Satisfied",NA,"Incompatibility with irrigation system(s)","","35-44 years old"
"1/6/20","Owner/operator of almond orchard(s)","San Joaquin","Central",0,0,1,0,80,"Medium","Yes","Very Satisfied",NA,"Increased risk of frost damage,Limited time for planting due to competing operations","","45-54 years old"
"1/6/20","Farm manager (not owner)","Tulare","South",0,0,0,1,300,"Large","No","","Yes","Effort/time to manage it,Cost of seeds,Physical interference with operations","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","25-34 years old"
"1/6/20","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,105,"Medium","Yes","Somewhat Satisfied",NA,"Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","","25-34 years old"
"1/7/20","Owner/operator of almond orchard(s)","Fresno,Tulare","South",0,0,0,1,440,"Large","Yes","Very Satisfied",NA,"Effort/time to manage it,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","","45-54 years old"
"1/7/20","Farm manager (not owner)","Tulare","South",0,0,0,1,650,"Large","No","","Not sure","Effort/time to manage it,Labor to grow/maintain it","Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds","35-44 years old"
"1/7/20","Farm manager (not owner)","Tulare","South",0,0,0,1,675,"Large","No","","No","We have no concerns about cover crops","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","35-44 years old"
"1/7/20","Owner, not responsible for day-to-day management","Stanislaus","Central",0,0,1,0,9,"Small","No","","Not sure","Physical interference with operations","Increased strength of bee colonies during bloom","45-54 years old"
"1/8/20","Farm manager (not owner)","Madera","Central",0,0,1,0,120,"Medium","Yes","Very Satisfied",NA,"Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds","","25-34 years old"
"1/9/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,16,"Small","No","","No","Increased risk of frost damage,Physical interference with operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds","45-54 years old"
"1/11/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,150,"Medium","No","","Yes","Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","65-74 years old"
"1/11/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,20,"Small","Yes","Not Satisfied",NA,"Labor to grow/maintain it,Increased risk of frost damage,Limited time for planting due to competing operations,Physical interference with operations","","55-64 years old"
"1/11/20","Farm manager (not owner)","Tulare","South",0,0,0,1,270,"Large","No","","Not sure","Effort/time to manage it","Decreased rental fee for managed bee colonies","35-44 years old"
"1/13/20","Farm manager (not owner)","Merced","Central",0,0,1,0,880,"Large","No","","No","Effort/time to manage it","Increased strength of bee colonies during bloom","45-54 years old"
"1/13/20","Owner, not responsible for day-to-day management","Madera","Central",0,0,1,0,48,"Medium","Yes","Somewhat Satisfied",NA,"Availability of water","","35-44 years old"
"1/13/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,130,"Medium","No","","No","Expense of water,Effort/time to manage it,Labor to grow/maintain it","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","35-44 years old"
"1/14/20","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,305,"Large","Yes","Very Satisfied",NA,"Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations","","45-54 years old"
"1/14/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,18,"Small","No","","Not sure","Effort/time to manage it,Labor to grow/maintain it","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Easy/affordable access to equipment needed to plant seeds","75 years or older"
"1/14/20","Owner/operator of almond orchard(s)","Tehama","North",1,0,0,0,0,"Small","Yes","Somewhat Satisfied",NA,"Availability of equipment needed to plant seeds","","55-64 years old"
"1/14/20","Owner, not responsible for day-to-day management","Fresno","South",0,0,0,1,370,"Large","Yes","Very Satisfied",NA,"We have no concerns about cover crops","","45-54 years old"
"1/14/20","Owner/operator of almond orchard(s)","Tehama","North",1,0,0,0,70,"Medium","Yes","Somewhat Satisfied",NA,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","","55-64 years old"
"1/14/20","Owner/operator of almond orchard(s)","San Joaquin","Central",0,0,1,0,25,"Small","No","","Yes","We have no concerns about cover crops","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Easy/affordable access to equipment needed to plant seeds","55-64 years old"
"1/14/20","Farm manager (not owner)","Sacramento","Delta",0,1,0,0,60,"Medium","No","","Yes","Limited time for planting due to competing operations","Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","55-64 years old"
"1/14/20","Owner/operator of almond orchard(s)","Glenn","North",1,0,0,0,19,"Small","No","","Not sure","Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","25-34 years old"
"1/14/20","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,10,"Small","Yes","Very Satisfied",NA,"Availability of water,Expense of water,Increased risk of frost damage","","25-34 years old"
"1/14/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,90,"Medium","No","","Not sure","Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","None of these are incentives","65-74 years old"
"1/15/20","Owner, not responsible for day-to-day management","Butte","North",1,0,0,0,24,"Small","No","","Not sure","We have no concerns about cover crops","None of these are incentives","65-74 years old"
"1/15/20","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,12,"Small","No","","No","Availability of water","Decreased rental fee for managed bee colonies","55-64 years old"
"1/15/20","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,900,"Large","No","","Not sure","Availability of water,Incompatibility with irrigation system(s)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom","65-74 years old"
"1/15/20","Owner, not responsible for day-to-day management","Tulare","South",0,0,0,1,57,"Medium","No","","Not sure","Prefer not to answer","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","18-24 years old"
"1/15/20","Farm manager (not owner)","Colusa","North",1,0,0,0,850,"Large","Yes","Very Satisfied",NA,"Inadequate soil type for cover crops","","35-44 years old"
"1/15/20","Owner, not responsible for day-to-day management","Stanislaus","Central",0,0,1,0,60,"Medium","No","","Not sure","Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","35-44 years old"
"1/16/20","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,16,"Small","No","","Not sure","Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Decreased rental fee for managed bee colonies","45-54 years old"
"1/16/20","Farm manager (not owner)","Yolo,Solano","Delta",0,1,0,0,0,"Small","Yes","Very Satisfied",NA,"We have no concerns about cover crops","","18-24 years old"
"1/16/20","Farm manager (not owner)","Solano","Delta",0,1,0,0,0,"Small","Yes","Very Satisfied",NA,"Increased risk of frost damage","","25-34 years old"
"1/18/20","Owner/operator of almond orchard(s)","San Joaquin,Stanislaus","Central",0,0,1,0,900,"Large","Yes","Somewhat Satisfied",NA,"Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Cost of seeds,Limited time for planting due to competing operations,Physical interference with operations","","25-34 years old"
"1/18/20","Farm manager (not owner)","Colusa","North",1,0,0,0,20,"Small","No","","Not sure","We have no concerns about cover crops","Easy/affordable access to equipment needed to plant seeds","25-34 years old"
"1/18/20","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,3000,"Large","No","","Not sure","Incompatibility with irrigation system(s),Physical interference with operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","55-64 years old"
"1/18/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,40,"Small","No","","Yes","Labor to grow/maintain it,Cost of seeds,Increased risk of frost damage,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","45-54 years old"
"1/18/20","Owner, not responsible for day-to-day management","Merced","Central",0,0,1,0,60,"Medium","No","","No","Prefer not to answer","Decreased rental fee for managed bee colonies","45-54 years old"
"1/19/20","Owner/operator of almond orchard(s)","San Joaquin","Central",0,0,1,0,29,"Small","No","","Not sure","Inadequate soil type for cover crops,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","None of these are incentives","65-74 years old"
"1/19/20","Owner, not responsible for day-to-day management","Merced","Central",0,0,1,0,7.5,"Small","No","","No","Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Limited time for planting due to competing operations","Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds","75 years or older"
"1/19/20","Owner, not responsible for day-to-day management","Stanislaus","Central",0,0,1,0,40,"Small","No","","No","Prefer not to answer","Prefer not to answer","25-34 years old"
"1/19/20","Owner/operator of almond orchard(s)","San Joaquin,Stanislaus,Merced","Central",0,0,1,0,25,"Small","No","","Yes","Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","45-54 years old"
"1/21/20","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,60,"Medium","No","","No","Availability of water,Expense of water,Incompatibility with irrigation system(s),Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds","25-34 years old"
"1/21/20","Owner/operator of almond orchard(s)","San Joaquin,Stanislaus","Central",0,0,1,0,235,"Large","Yes","Very Satisfied",NA,"We have no concerns about cover crops","","55-64 years old"
"1/21/20","Owner, not responsible for day-to-day management","Merced","Central",0,0,1,0,50,"Medium","Yes","Very Satisfied",NA,"We have no concerns about cover crops","","75 years or older"
"1/21/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,200,"Medium","Yes","Somewhat Satisfied",NA,"Increased risk of frost damage","","55-64 years old"
"1/21/20","Owner/operator of almond orchard(s)","Kern","South",0,0,0,1,20,"Small","No","","No","Availability of water,Expense of water,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds","None of these are incentives","55-64 years old"
"1/21/20","Owner/operator of almond orchard(s)","Kern","South",0,0,0,1,17,"Small","No","","No","Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it","Increased strength of bee colonies during bloom","65-74 years old"
"1/21/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,20,"Small","No","","Not sure","Expense of water,Cost of seeds,Increased risk of frost damage","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds","25-34 years old"
"1/21/20","Owner/operator of almond orchard(s)","Kern","South",0,0,0,1,0,"Small","No","","No","Availability of water,Incompatibility with irrigation system(s)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","45-54 years old"
"1/21/20","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,20,"Small","Yes","Very Satisfied",NA,"Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","","35-44 years old"
"1/21/20","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,35,"Small","No","","Yes","Availability of water,Expense of water,Effort/time to manage it,Labor to grow/maintain it","None of these are incentives","25-34 years old"
"1/21/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,30,"Small","Yes","Somewhat Satisfied",NA,"We have no concerns about cover crops","","65-74 years old"
"1/21/20","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,8.5,"Small","No","","No","Availability of water","Prefer not to answer","Prefer not to answer"
"1/21/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,24,"Small","No","","Yes","Cost of equipment needed to plant seeds","Easy/affordable access to equipment needed to plant seeds","25-34 years old"
"1/21/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,15,"Small","No","","Not sure","Effort/time to manage it,Availability of equipment needed to plant seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Easy/affordable access to equipment needed to plant seeds","25-34 years old"
"1/21/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,20,"Small","Yes","Somewhat Satisfied",NA,"Physical interference with operations","","45-54 years old"
"1/21/20","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,7000,"Large","No","","No","Availability of water,Incompatibility with irrigation system(s),Effort/time to manage it,Increased risk of frost damage","None of these are incentives","35-44 years old"
"1/21/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,0,"Small","No","","No","Effort/time to manage it,Labor to grow/maintain it,Limited time for planting due to competing operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","25-34 years old"
"1/21/20","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,7,"Small","No","","Not sure","Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)","55-64 years old"
"1/21/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,35,"Small","No","","No","Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Physical interference with operations","Decreased rental fee for managed bee colonies,Increased strength of bee colonies during bloom","45-54 years old"
"1/21/20","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,31,"Small","No","","Yes","Availability of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage,Limited time for planting due to competing operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds","25-34 years old"
"1/21/20","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,40,"Small","Yes","Somewhat Satisfied",NA,"Increased risk of frost damage,Physical interference with operations","","55-64 years old"
"1/21/20","Owner/operator of almond orchard(s)","Fresno","South",0,0,0,1,590,"Large","No","","No","Availability of water,Effort/time to manage it,Increased risk of frost damage,Physical interference with operations","Decreased rental fee for managed bee colonies","55-64 years old"
"1/22/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,40,"Small","No","","Not sure","Effort/time to manage it,Labor to grow/maintain it,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Increased strength of bee colonies during bloom","35-44 years old"
"1/22/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,10,"Small","Yes","Somewhat Satisfied",NA,"Effort/time to manage it,Labor to grow/maintain it","","35-44 years old"
"1/22/20","Owner, not responsible for day-to-day management","Merced","Central",0,0,1,0,23,"Small","No","","Yes","Availability of water,Expense of water,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","25-34 years old"
"1/22/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,18,"Small","Yes","Somewhat Satisfied",NA,"We have no concerns about cover crops","","55-64 years old"
"1/22/20","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,15,"Small","No","","Not sure","Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops,Limited time for planting due to competing operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","18-24 years old"
"1/22/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,8,"Small","No","","Not sure","Effort/time to manage it","Associated benefits from non-pollination services (improved soil health, water filtration, etc.)","65-74 years old"
"1/22/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,39.8,"Small","No","","Not sure","Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Increased risk of frost damage,Limited time for planting due to competing operations,Physical interference with operations","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","55-64 years old"
"1/22/20","Owner, not responsible for day-to-day management","Stanislaus","Central",0,0,1,0,255,"Large","No","","No","Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","55-64 years old"
"1/22/20","Owner/operator of almond orchard(s)","Madera,Fresno","South",0,0,0,1,50,"Medium","Yes","Very Satisfied",NA,"Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","","45-54 years old"
"1/22/20","Owner/operator of almond orchard(s)","Merced","Central",0,0,1,0,72,"Medium","Yes","Very Satisfied",NA,"Availability of water,Expense of water,Labor to grow/maintain it","","55-64 years old"
"1/22/20","Owner/operator of almond orchard(s)","Stanislaus","Central",0,0,1,0,100,"Medium","No","","No","Incompatibility with irrigation system(s),Inadequate soil type for cover crops,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Increased strength of bee colonies during bloom","65-74 years old"
"1/22/20","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,249,"Large","No","","Yes","We have no concerns about cover crops","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Increased strength of bee colonies during bloom","55-64 years old"
"1/22/20","Farm manager (not owner)","Stanislaus","Central",0,0,1,0,80,"Medium","No","","Not sure","Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom","55-64 years old"
